Sample Month,Sample ID,M0_Veh,M2_Veh,M0_M1,M2_M1,M0_PM,M2_PM,M0_M1+PM,M2_M1+PM
March,NBL_191,4816.213333,4118.813333,3219.033333,2681.573333,5138.313333,4030.773333,3474.853333,2303.413333
March,NBL_303,6346.266667,5427.6,4726.533333,3568.633333,6517.4,5093.333333,4709.866667,2875
March,NBL_290,4138.733333,3869.033333,2152.533333,2481.266667,4212.7,4152.933333,1909.8,2557.4
March,NBL_291,2885.333333,3285.8,3282.6,3347.766667,5196.133333,3965.333333,2686.233333,2186.666667
March,NBL_132,7891.65,8534.175,5319.125,5110.625,7857.55,7399.975,4874.625,4000.375
June,NBL_289,2836.4,2825.933333,1843.2,1744.033333,2590.633333,2241.633333,1653.866667,1576.3
June,NBL_273,4147.533333,3832.666667,1917.766667,2062.766667,3539.2,3434.2,1839.066667,1703.233333
June,NBL_280,2391.3,2397.16,1622.12,1240.26,2091.44,1626.18,1332.46,861.84
June,NBL_292,607,616.9666667,358.6666667,640.8333333,1025.566667,810,579.5333333,528.0666667
June,NBL_288,6202.966667,3725.533333,3274.9,2764.466667,6200.633333,4011.566667,3348.266667,2046.133333
Sept,NBL_312,1662.233333,1689.666667,1036.966667,959.8333333,1186.233333,1363.5,939.8,686.8333333
Sept,IVS_379,3294.733333,2437.566667,2055.066667,1526.066667,2220.5,1576.133333,1463.5,921.9333333
Sept,NBL_308,4977.033333,5369.4,3719.133333,3139.7,4695.3,4510.333333,2475.8,2226.3
Sept,NBL_310,3411.9,3124.466667,1731.366667,1431.233333,2987.8,2712.133333,1846.233333,737.3333333
Dec,NBL_290,4629.8,4884.2,2849.233333,2267.133333,4342.533333,3939.833333,3151.4,2911.933333
Dec,NBL_285,3748.5,7942.1,5415.8,4747.433333,8525.266667,6312.466667,4443.166667,1028.966667
Dec,NBL_314,5651.366667,6566.933333,5473.133333,3664.133333,8496.066667,5561.266667,4194.6,703.3666667
Dec,IVS_388,12285.4,12201.3,7507.933333,6943.3,13142.83333,12013.23333,7820.866667,6686.566667
